occurrenceID	scientificName	decimalLatitude	decimalLongitude	accuracy	year	establishmentMeans	occurrenceOrigin	bibliographicCitation	associatedReferences	sourceCitation	associatedSequences	claimExtinction	occurrenceRemarks	confidentialityLevel	contributor
WG9083	Pontastacus leptodactylus	49.2303333333333	24.67375	high	2012	indigenous	native	DOI 10.2478/vzoo-2013-0020		Kostyuk, V. S., Garbar, A. V., & Mezhzherin, S. V. (2013). Karyotypes and morphological variability of crayfish Pontastacus leptodactylus and P. angulosus (Malacostraca, Decapoda). Вестник зоологии, (47,№ 3), 205-210.			Pontastacus angulosus	0	Olga N. Petko
WG9084	Pontastacus leptodactylus	49.2311666666667	28.4822222222222	high	2012	indigenous	native	DOI 10.2478/vzoo-2013-0020		Kostyuk, V. S., Garbar, A. V., & Mezhzherin, S. V. (2013). Karyotypes and morphological variability of crayfish Pontastacus leptodactylus and P. angulosus (Malacostraca, Decapoda). Вестник зоологии, (47,№ 3), 205-210.				0	Olga N. Petko
WG9085	Pontastacus leptodactylus	49.3935555555556	63.3280833333333	low	2019	indigenous	native		https://repo.kspi.kz/handle/123456789/3813	Брагина, Т. М., & Бойко, И. А. (2020). Анализ динамики рекомендованного промысла речного рака в Костанайской области.				0	Olga N. Petko
WG9086	Pontastacus leptodactylus	49.5883611111111	36.3545277777778	high	2012	indigenous	native		http://nbuv.gov.ua/UJRN/VKhb_2012_1035_16_17	Сидоровский, С. А. (2012). Фауна ракообразных (Crustacea) и коловраток (Rotifera) НПП Гомольшанские леса. Вісник Харківського національного університету імені ВН Каразіна. Серія: Біологія, (16), 105-109.				0	Olga N. Petko
WG9088	Pontastacus leptodactylus	49.6698611111111	83.2226666666667	high	2015	indigenous	native		https://cyberleninka.ru/article/n/uzkopalye-rechnye-raki-astacus-leptodactylus-v-pitanii-hohotuni-larus-cachinnans-v-nizovyah-buhtarmy	Березовиков, Н. Н. (2019). Узкопалые речные раки Astacus leptodactylus в питании хохотуньи Larus cachinnans в низовьях Бухтармы. Русский орнитологический журнал, 28(1778), 2558-2560.			introduced in the past 20 years, no exact date	0	Olga N. Petko
WG9089	Pontastacus leptodactylus	49.7030555555556	62.6800277777778	low	2019	indigenous	native		https://repo.kspi.kz/handle/123456789/3813	Брагина, Т. М., & Бойко, И. А. (2020). Анализ динамики рекомендованного промысла речного рака в Костанайской области.				0	Olga N. Petko
WG9090	Pontastacus leptodactylus	49.7386111111111	84.2719444444444	high	2015	indigenous	native		https://cyberleninka.ru/article/n/uzkopalye-rechnye-raki-astacus-leptodactylus-v-pitanii-hohotuni-larus-cachinnans-v-nizovyah-buhtarmy	Березовиков, Н. Н. (2019). Узкопалые речные раки Astacus leptodactylus в питании хохотуньи Larus cachinnans в низовьях Бухтармы. Русский орнитологический журнал, 28(1778), 2558-2560.			the exact year the species was brought into the lake	0	Olga N. Petko
WG9091	Pontastacus leptodactylus	49.8499166666667	64.5114444444445	low	2019	indigenous	native		https://repo.kspi.kz/handle/123456789/3813	Брагина, Т. М., & Бойко, И. А. (2020). Анализ динамики рекомендованного промысла речного рака в Костанайской области.				0	Olga N. Petko
WG9092	Pontastacus cubanicus	49.9845	40.8364722222222	low	2018	indigenous	native		http://hdl.handle.net/1834/16189	Glushko, E. Y. (2019). Results of investigation of the crayfish populations in the water bodies of the Rostov Region in 2017–2018.			the whole river Don including water bodies of the flood plain	0	Olga N. Petko
WG9093	Pontastacus leptodactylus	50.0133611111111	26.0297777777778	high	2012	indigenous	native	DOI 10.2478/vzoo-2013-0020		Kostyuk, V. S., Garbar, A. V., & Mezhzherin, S. V. (2013). Karyotypes and morphological variability of crayfish Pontastacus leptodactylus and P. angulosus (Malacostraca, Decapoda). Вестник зоологии, (47,№ 3), 205-210.			Pontastacus angulosus	0	Olga N. Petko
